,First Name,Last Name,Club,Position(s),Base Salary,Guaranteed Compensation,name
259,Marcus,Ferkranus,LA Galaxy,D,"$90,000.00","$103,625.00",Marcus Ferkranus
260,Omir,Fernandez,New York Red Bulls,M,"$115,000.00","$130,000.00",Omir Fernandez
261,Jesus,Ferreira,FC Dallas,F,"$550,000.00","$550,000.00",Jesus Ferreira
262,Carlos,Fierro,San Jose Earthquakes,F,"$850,000.00","$908,800.00",Carlos Fierro
263,Jorge,Figal,Inter Miami,D,"$600,000.00","$630,000.00",Jorge Figal
264,Maynor,Figueroa,Houston Dynamo,D,"$150,000.00","$157,688.00",Maynor Figueroa
265,Stuart,Findlay,Philadelphia Union,D,"$425,000.00","$425,000.00",Stuart Findlay
266,Ethan,Finlay,Minnesota United,M,"$450,000.00","$450,000.00",Ethan Finlay
267,Oniel,Fisher,LA Galaxy,D,"$140,000.00","$147,625.00",Oniel Fisher
268,Jonas,Fjeldberg,FC Cincinnati,,"$63,547.00","$63,547.00",Jonas Fjeldberg
269,Leon,Flach,Philadelphia Union,M,"$210,000.00","$223,750.00",Leon Flach
270,Avionne,Flanagan,FC Cincinnati,D,"$63,547.00","$63,547.00",Avionne Flanagan
271,Edison,Flores,DC United,M-F,"$1,600,000.00","$1,733,000.00",Edison Flores
272,George,Fochive,Portland Timbers,M,"$240,000.00","$240,000.00",George Fochive
273,Anthony,Fontana,Philadelphia Union,M,"$100,008.00","$108,426.00",Anthony Fontana
274,Andreu,Fontas,Sporting Kansas City,D,"$1,125,000.00","$1,125,000.00",Andreu Fontas
275,Kortne,Ford,Colorado Rapids,D,"$140,000.00","$140,000.00",Kortne Ford
276,Franco,Fragapane,Minnesota United,M-F,"$135,000.00","$142,500.00",Franco Fragapane
277,Waylon,Francis,Columbus Crew,D,"$220,000.00","$230,000.00",Waylon Francis
278,Alan,Franco,Atlanta United,D,"$378,000.00","$505,500.00",Alan Franco
279,Liam,Fraser,Columbus Crew,M,"$89,513.00","$94,513.00",Liam Fraser
280,Ian,Fray,Inter Miami,D,"$63,547.00","$63,547.00",Ian Fray
281,Tyler,Freeman,Sporting Kansas City,F,"$95,000.00","$97,500.00",Tyler Freeman
282,Matt,Freese,Philadelphia Union,GK,"$96,750.00","$115,500.00",Matt Freese
283,Stefan,Frei,Seattle Sounders FC,GK,"$500,000.00","$500,000.00",Stefan Frei
284,Alejandro,Fuenmayor,Houston Dynamo,D,"$190,008.00","$217,508.00",Alejandro Fuenmayor
285,Gilbert,Fuentes,San Jose Earthquakes,M,"$160,000.00","$178,750.00",Gilbert Fuentes
286,McKinze,Gaines,Austin FC,F,"$81,375.00","$84,125.00",McKinze Gaines
287,Julian,Gaines,LAFC,D,"$81,375.00","$83,375.00",Julian Gaines
288,Jon,Gallagher,Austin FC,F,"$81,375.00","$81,375.00",Jon Gallagher
289,Erickson,Gallardo,Toronto FC,M,"$300,000.00","$331,913.00",Erickson Gallardo
290,Pedro,Gallese,Orlando City SC,GK,"$410,000.00","$410,000.00",Pedro Gallese
291,Braian,Galvan,Colorado Rapids,F,"$160,000.00","$252,375.00",Braian Galvan
292,Oscar Boniek,Garcia,Houston Dynamo,M,"$81,375.00","$81,375.00",Oscar Boniek Garcia
293,Chris,Garcia,Real Salt Lake,F,"$85,444.00","$89,744.00",Chris Garcia
294,Bruno,Gaspar,Vancouver Whitecaps,D,"$200,000.00","$233,333.00",Bruno Gaspar
295,Chase,Gasper,Minnesota United,D,"$81,375.00","$81,375.00",Chase Gasper
296,Ryan,Gauld,Vancouver Whitecaps,M,"$1,920,000.00","$2,025,000.00",Ryan Gauld
297,Daniel,Gazdag,Philadelphia Union,M-F,"$300,000.00","$336,250.00",Daniel Gazdag
298,Kieran,Gibbs,Inter Miami,D,"$120,000.00","$128,167.00",Kieran Gibbs
299,Carles,Gil,New England Revolution,M,"$2,750,000.00","$3,045,833.00",Carles Gil
300,Gaston,Gimenez,Chicago Fire,M,"$2,058,000.00","$2,358,667.00",Gaston Gimenez
301,Francisco,Ginella,LAFC,M,"$425,000.00","$547,250.00",Francisco Ginella
302,Tomas,Giraldo,Montreal,M,"$66,724.00","$75,481.00",Tomas Giraldo
303,Justen,Glad,Real Salt Lake,D,"$600,000.00","$660,031.00",Justen Glad
304,Jakob,Glesnes,Philadelphia Union,D,"$425,000.00","$448,125.00",Jakob Glesnes
305,Christopher,Gloster,New York City FC,D,"$197,000.00","$207,000.00",Christopher Gloster
306,Marcus,Godinho,Vancouver Whitecaps,D,"$81,375.00","$84,375.00",Marcus Godinho
307,Anibal,Godoy,Nashville SC,M,"$700,000.00","$771,667.00",Anibal Godoy
308,Erik,Godoy,Vancouver Whitecaps,D,"$450,000.00","$450,000.00",Erik Godoy
309,Caiser Sergio,Gomes,FC Dallas,D,"$81,375.00","$81,375.00",Caiser Sergio Gomes
310,Fabio,Gomes,New York Red Bulls,F,"$380,000.00","$401,400.00",Fabio Gomes
311,Yeimar,Gomez Andrade,Seattle Sounders FC,D,"$300,000.00","$387,000.00",Yeimar Gomez Andrade
312,Giancarlo,Gonzalez,LA Galaxy,D,"$850,000.00","$850,000.00",Giancarlo Gonzalez
313,Jorge,Gonzalez,Portland Timbers,M,"$63,547.00","$63,547.00",Jorge Gonzalez
314,Omar,Gonzalez,Toronto FC,D,"$780,000.00","$1,055,936.00",Omar Gonzalez
315,Leandro,Gonzalez Pirez,Inter Miami,D,"$849,996.00","$1,010,246.00",Leandro Gonzalez Pirez
316,Samuel,Grandsir,LA Galaxy,F-M,"$850,000.00","$938,427.00",Samuel Grandsir
317,Tayvon,Gray,New York City FC,D,"$95,000.00","$114,788.00",Tayvon Gray
318,Jacob,Greene,DC United,D-M,"$63,547.00","$66,547.00",Jacob Greene
319,Jan,Gregus,Minnesota United,M,"$750,000.00","$883,500.00",Jan Gregus
320,Julian,Gressel,DC United,M,"$705,000.00","$760,781.00",Julian Gressel
321,Adam,Grinwis,Orlando City SC,GK,"$81,375.00","$81,375.00",Adam Grinwis
322,Sami,Guediri,Inter Miami,D,"$63,547.00","$63,547.00",Sami Guediri
323,Brian,Gutierrez,Chicago Fire,M,"$66,724.00","$68,624.00",Brian Gutierrez
324,Cristian,Gutierrez,Vancouver Whitecaps,D,"$150,000.00","$167,500.00",Cristian Gutierrez
325,Andrew,Gutman,New York Red Bulls,D,"$275,000.00","$306,250.00",Andrew Gutman
326,Brad,Guzan,Atlanta United,GK,"$805,000.00","$805,000.00",Brad Guzan
327,Joe,Gyau,FC Cincinnati,D,"$273,000.00","$273,000.00",Joe Gyau
328,Justin,Haak,New York City FC,M,"$81,375.00","$81,375.00",Justin Haak
329,Luke,Haakenson,Nashville SC,M,"$66,724.00","$66,724.00",Luke Haakenson
