,First Name,Last Name,Club,Position(s),Base Salary,Guaranteed Compensation,name
476,Marko,Maric,Houston Dynamo,GK,"$465,000.00","$513,250.00",Marko Maric
477,Paul,Marie,San Jose Earthquakes,D,"$81,375.00","$87,908.00",Paul Marie
478,Jahkeele,Marshall-Rutty,Toronto FC,F,"$100,000.00","$106,842.00",Jahkeele Marshall-Rutty
479,Nick,Marsman,Inter Miami,GK,"$150,000.00","$262,188.00",Nick Marsman
480,Josef,Martinez,Atlanta United,F,"$3,500,000.00","$3,891,667.00",Josef Martinez
481,Jose Antonio,Martinez,FC Dallas,D,"$600,000.00","$673,000.00",Jose Antonio Martinez
482,Jose Andres,Martinez,Philadelphia Union,M,"$225,000.00","$251,250.00",Jose Andres Martinez
483,Doug,Martinez,Real Salt Lake,F,"$81,375.00","$81,375.00",Doug Martinez
484,Felipe,Martins,DC United,M,"$150,000.00","$150,000.00",Felipe Martins
485,Luis,Martins,Sporting Kansas City,D,"$340,000.00","$340,000.00",Luis Martins
486,Emmanuel,Mas,Orlando City SC,D,"$252,000.00","$282,000.00",Emmanuel Mas
487,Alexandru,Matan,Columbus Crew,M-F,"$375,000.00","$408,250.00",Alexandru Matan
488,Ronald,Matarrita,FC Cincinnati,D,"$700,000.00","$756,875.00",Ronald Matarrita
489,Blaise,Matuidi,Inter Miami,M,"$1,500,000.00","$1,500,000.00",Blaise Matuidi
490,Jimmy,Maurer,FC Dallas,GK,"$250,000.00","$267,888.00",Jimmy Maurer
491,Jose,Mauri,Sporting Kansas City,M,"$660,000.00","$660,000.00",Jose Mauri
492,Chris,Mavinga,Toronto FC,D,"$850,000.00","$887,500.00",Chris Mavinga
493,Philip,Mayaka,Colorado Rapids,M,"$81,375.00","$94,375.00",Philip Mayaka
494,Olivier,Mbaizo,Philadelphia Union,D,"$89,513.00","$89,513.00",Olivier Mbaizo
495,John,McCarthy,Inter Miami,GK,"$130,000.00","$136,583.00",John McCarthy
496,Dax,McCarty,Nashville SC,M,"$725,000.00","$725,000.00",Dax McCarty
497,Erik,McCue,Houston Dynamo,D,"$81,375.00","$81,375.00",Erik McCue
498,Christian,McFarlane,New York City FC,D,"$63,547.00","$81,803.00",Christian McFarlane
499,Jack,McGlynn,Philadelphia Union,M,"$64,992.00","$78,892.00",Jack McGlynn
500,Zac,McGraw,Portland Timbers,D,"$66,724.00","$66,724.00",Zac McGraw
501,Riley,Mcgree,Major League Soccer,M,"$170,000.00","$180,000.00",Riley Mcgree
502,Kendall,McIntosh,Sporting Kansas City,GK,"$96,375.00","$96,375.00",Kendall McIntosh
503,Justin,McMaster,Minnesota United,F,"$63,547.00","$63,547.00",Justin McMaster
504,Thomas,McNamara,New England Revolution,M,"$225,000.00","$225,000.00",Thomas McNamara
505,Ryan,Meara,New York Red Bulls,GK,"$270,000.00","$270,000.00",Ryan Meara
506,Jesus,Medina,New York City FC,M,"$1,050,000.00","$1,170,833.00",Jesus Medina
507,Alvaro,Medran,Chicago Fire,M,"$1,000,000.00","$1,055,000.00",Alvaro Medran
508,Jimmy,Medranda,Seattle Sounders FC,M-D,"$180,000.00","$190,000.00",Jimmy Medranda
509,Haris,Medunjanin,FC Cincinnati,M,"$570,000.00","$625,750.00",Haris Medunjanin
510,Phelipe,Megiolaro,FC Dallas,GK,"$150,000.00","$176,250.00",Phelipe Megiolaro
511,Tim,Melia,Sporting Kansas City,GK,"$500,000.00","$504,167.00",Tim Melia
512,Jonathan,Menendez,Real Salt Lake,M-F,"$500,000.00","$602,813.00",Jonathan Menendez
513,Jonathan,Mensah,Columbus Crew,D,"$1,000,000.00","$1,140,667.00",Jonathan Mensah
514,Justin,Meram,Real Salt Lake,M,"$500,000.00","$500,000.00",Justin Meram
515,Bryan,Meredith,Nashville SC,GK,"$81,375.00","$87,375.00",Bryan Meredith
516,Romain,Metanire,Minnesota United,D,"$600,000.00","$699,250.00",Romain Metanire
517,Patrick,Metcalfe,Vancouver Whitecaps,M,"$66,724.00","$66,724.00",Patrick Metcalfe
518,Nicolas,Mezquida,Colorado Rapids,M,"$350,000.00","$380,000.00",Nicolas Mezquida
519,Benji,Michel,Orlando City SC,F,"$109,250.00","$115,553.00",Benji Michel
520,Djordje,Mihailovic,Montreal,M,"$600,000.00","$651,875.00",Djordje Mihailovic
521,Matko,Milijevic,Montreal,M,"$545,455.00","$593,364.00",Matko Milijevic
522,Tyler,Miller,Minnesota United,GK,"$400,000.00","$420,937.00",Tyler Miller
523,Kamal,Miller,Montreal,D,"$85,444.00","$85,444.00",Kamal Miller
524,Eric,Miller,Nashville SC,D,"$147,000.00","$147,000.00",Eric Miller
525,Miguel,Mina Nazarit,Nashville SC,D,"$700,000.00","$894,375.00",Miguel Mina Nazarit
526,Ben,Mines,FC Cincinnati,M,"$81,375.00","$86,239.00",Ben Mines
527,Joao Paulo,Mior,Seattle Sounders FC,M,"$1,000,000.00","$1,050,000.00",Joao Paulo Mior
528,Selmir,Miscic,Philadelphia Union,M,"$63,547.00","$70,026.00",Selmir Miscic
529,Alexandru,Mitrita,New York City FC,F,"$700,000.00","$700,000.00",Alexandru Mitrita
530,Cody,Mizell,New York City FC,GK,"$81,375.00","$81,375.00",Cody Mizell
531,Kamohelo,Mokotjo,FC Cincinnati,M,"$925,000.00","$1,007,969.00",Kamohelo Mokotjo
532,Kevin,Molino,Columbus Crew,M,"$667,000.00","$667,000.00",Kevin Molino
533,Alex,Monis,Chicago Fire,M,"$66,724.00","$68,624.00",Alex Monis
534,Jamiro,Monteiro,Philadelphia Union,M,"$1,300,000.00","$1,476,250.00",Jamiro Monteiro
535,Fredy,Montero,Seattle Sounders FC,F,"$81,375.00","$81,375.00",Fredy Montero
536,Callum,Montgomery,Minnesota United,D,"$81,375.00","$83,292.00",Callum Montgomery
537,Lucas,Monzon,New York Red Bulls,D,"$205,000.00","$243,917.00",Lucas Monzon
538,Kim,Moon-Hwan,LAFC,D-M,"$500,000.00","$524,000.00",Kim Moon-Hwan
539,Drew,Moor,Colorado Rapids,D,"$150,000.00","$165,000.00",Drew Moor
540,Joseph,Mora,DC United,D,"$184,000.00","$198,600.00",Joseph Mora
541,Felipe,Mora,Portland Timbers,F,"$825,000.00","$905,000.00",Felipe Mora
542,Efrain,Morales,Atlanta United,D,"$63,547.00","$63,547.00",Efrain Morales
543,Alfredo,Morales,New York City FC,M,"$600,000.00","$662,250.00",Alfredo Morales
544,Maxi,Moralez,New York City FC,M,"$2,500,000.00","$3,285,000.00",Maxi Moralez
545,Steven,Moreira,Columbus Crew,D,"$350,000.00","$432,708.00",Steven Moreira
546,Marcelino,Moreno,Atlanta United,F-M,"$400,000.00","$400,000.00",Marcelino Moreno
547,Junior,Moreno,DC United,M,"$184,000.00","$193,550.00",Junior Moreno
548,Santiago,Moreno,Portland Timbers,F,"$250,000.00","$294,576.00",Santiago Moreno
549,Lewis,Morgan,Inter Miami,M-F,"$550,000.00","$553,125.00",Lewis Morgan
550,Ashtone,Morgan,Real Salt Lake,D,"$132,000.00","$132,000.00",Ashtone Morgan
551,Aidan,Morris,Columbus Crew,M,"$145,000.00","$147,000.00",Aidan Morris
552,Jordan,Morris,Seattle Sounders FC,F,"$1,150,000.00","$1,270,100.00",Jordan Morris
553,Justin,Morrow,Toronto FC,D,"$125,000.00","$125,000.00",Justin Morrow
554,Kyle,Morton,Houston Dynamo,GK,"$81,375.00","$81,375.00",Kyle Morton
555,Joao,Moutinho,Orlando City SC,D,"$180,000.00","$223,000.00",Joao Moutinho
556,Chris,Mueller,Orlando City SC,M,"$123,715.00","$137,465.00",Chris Mueller
557,Hany,Mukhtar,Nashville SC,M,"$1,505,000.00","$1,505,000.00",Hany Mukhtar
558,Patrick,Mullins,Toronto FC,F,"$234,996.00","$248,329.00",Patrick Mullins
559,Jake,Mulraney,Atlanta United,M,"$275,600.00","$312,777.00",Jake Mulraney
560,Eddie,Munjoma,FC Dallas,D,"$66,724.00","$66,724.00",Eddie Munjoma
561,Jesus,Murillo,LAFC,D,"$400,000.00","$459,500.00",Jesus Murillo
562,Trey,Muse,Seattle Sounders FC,GK,"$81,375.00","$90,125.00",Trey Muse
563,Danny,Musovski,LAFC,F,"$85,444.00","$85,444.00",Danny Musovski
564,Alex,Muyl,Nashville SC,M,"$240,000.00","$246,563.00",Alex Muyl
565,Darlington,Nagbe,Columbus Crew,M,"$1,710,000.00","$1,710,000.00",Darlington Nagbe
566,Andy,Najar,DC United,D,"$90,000.00","$100,000.00",Andy Najar
567,Younes,Namli,Colorado Rapids,M,"$850,000.00","$1,271,000.00",Younes Namli
568,Luis,Nani,Orlando City SC,F,"$2,333,333.00","$2,486,250.00",Luis Nani
569,Miguel Angel,Navarro,Chicago Fire,D,"$150,000.00","$197,000.00",Miguel Angel Navarro
570,Federico,Navarro,Chicago Fire,M,"$180,000.00","$257,500.00",Federico Navarro
571,Jalen,Neal,LA Galaxy,D,"$90,000.00","$103,625.00",Jalen Neal
572,Dylan,Nealis,Nashville SC,D,"$100,000.00","$125,000.00",Dylan Nealis
573,Sean,Nealis,New York Red Bulls,D,"$81,375.00","$81,375.00",Sean Nealis
574,John,Nelson,FC Dallas,D,"$115,000.00","$123,000.00",John Nelson
575,Michael,Nelson,Houston Dynamo,GK,"$85,444.00","$85,444.00",Michael Nelson
576,Jayden,Nelson,Toronto FC,F,"$100,000.00","$106,586.00",Jayden Nelson
577,Jake,Nerwinski,Vancouver Whitecaps,D,"$255,000.00","$270,000.00",Jake Nerwinski
578,Evan,Newton,Vancouver Whitecaps,GK,"$95,000.00","$104,802.00",Evan Newton
579,Michee,Ngalina,LAFC,F,"$81,375.00","$82,875.00",Michee Ngalina
580,Jaroslaw,Niezgoda,Portland Timbers,F,"$739,500.00","$908,758.00",Jaroslaw Niezgoda
581,Moses,Nyeman,DC United,M,"$85,444.00","$88,230.00",Moses Nyeman
582,Shane,O'Neill,Seattle Sounders FC,D,"$115,000.00","$115,000.00",Shane O'Neill
583,Jader,Obrian,FC Dallas,F,"$360,000.00","$444,600.00",Jader Obrian
584,Alfonso,Ocampo-Chavez,Seattle Sounders FC,F,"$81,375.00","$95,875.00",Alfonso Ocampo-Chavez
585,David,Ochoa,Real Salt Lake,GK,"$90,000.00","$90,000.00",David Ochoa
586,Emmanuel,Ochoa,San Jose Earthquakes,GK,"$65,000.00","$75,080.00",Emmanuel Ochoa
587,Chris,Odoi-Atsem,DC United,D,"$130,000.00","$141,000.00",Chris Odoi-Atsem
588,Chinonso,Offor,Chicago Fire,F,"$132,000.00","$181,400.00",Chinonso Offor
589,Noble,Okello,Toronto FC,M,"$100,000.00","$111,815.00",Noble Okello
590,Wyatt,Omsberg,Chicago Fire,D,"$85,444.00","$85,444.00",Wyatt Omsberg
591,Ike,Opara,Major League Soccer,D,"$600,000.00","$685,333.00",Ike Opara
592,Kwadwo,Opoku,LAFC,F-M,"$81,375.00","$122,430.00",Kwadwo Opoku
593,Matej,Oravec,Philadelphia Union,M,"$270,000.00","$284,500.00",Matej Oravec
594,Arquimides,Ordonez,FC Cincinnati,F,"$63,547.00","$67,084.00",Arquimides Ordonez
595,Jonathan,Osorio,Toronto FC,M,"$850,000.00","$876,250.00",Jonathan Osorio
596,Leonard,Owusu,Vancouver Whitecaps,M,"$350,000.00","$401,250.00",Leonard Owusu
597,Diego,Palacios,LAFC,D,"$432,000.00","$456,000.00",Diego Palacios
598,Marcelo,Palomino,Houston Dynamo,F,"$66,724.00","$66,724.00",Marcelo Palomino
599,Elliot,Panicco,Nashville SC,GK,"$81,375.00","$81,375.00",Elliot Panicco
600,James,Pantemis,Montreal,GK,"$130,000.00","$145,833.00",James Pantemis
601,Kevin,Paredes,DC United,M,"$100,000.00","$108,000.00",Kevin Paredes
602,Cristhian,Paredes,Portland Timbers,M,"$252,000.00","$283,500.00",Cristhian Paredes
603,Isaiah,Parente,Columbus Crew,M,"$63,547.00","$67,547.00",Isaiah Parente
604,Tim,Parker,Houston Dynamo,D,"$1,161,800.00","$1,199,300.00",Tim Parker
605,Keaton,Parks,New York City FC,M,"$350,000.00","$350,000.00",Keaton Parks
606,Tyler,Pasher,Houston Dynamo,F,"$150,000.00","$157,881.00",Tyler Pasher
607,Alexandre,Pato,Orlando City SC,F,"$272,727.00","$272,727.00",Alexandre Pato
608,Damiano,Pecile,Vancouver Whitecaps,M,"$66,724.00","$72,818.00",Damiano Pecile
609,Matias,Pellegrini,Major League Soccer,M-F,"$825,000.00","$920,833.00",Matias Pellegrini
610,Jason,Pendant,New York Red Bulls,D,"$325,000.00","$385,750.00",Jason Pendant
611,Josh,Penn,Inter Miami,M-F,"$63,547.00","$63,547.00",Josh Penn
612,Ricardo,Pepi,FC Dallas,F,"$200,000.00","$271,333.00",Ricardo Pepi
613,Andres,Perea,Orlando City SC,M,"$180,000.00","$188,500.00",Andres Perea
614,Danny,Pereira,Austin FC,M,"$81,375.00","$99,793.00",Danny Pereira
615,Mauricio,Pereyra,Orlando City SC,M,"$1,800,000.00","$1,848,000.00",Mauricio Pereyra
616,Manny,Perez,Austin FC,M,"$63,547.00","$89,214.00",Manny Perez
617,Adrien,Perez,DC United,F,"$81,375.00","$81,375.00",Adrien Perez
618,Jonathan,Perez,LA Galaxy,M,"$125,000.00","$146,750.00",Jonathan Perez
619,Jordan,Perruzza,Toronto FC,F,"$63,547.00","$67,847.00",Jordan Perruzza
620,Fafa,Picault,Houston Dynamo,F,"$500,000.00","$500,000.00",Fafa Picault
621,Kayden,Pierre,Sporting Kansas City,D,"$63,547.00","$68,647.00",Kayden Pierre
622,Samuel,Piette,Montreal,M,"$425,000.00","$454,750.00",Samuel Piette
623,Mauricio,Pineda,Chicago Fire,D-M,"$175,000.00","$198,875.00",Mauricio Pineda
624,Rodrigo,Pineiro,Nashville SC,F,"$250,000.00","$347,500.00",Rodrigo Pineiro
625,Donovan,Pines,DC United,D,"$125,000.00","$127,000.00",Donovan Pines
626,Rodolfo,Pizarro,Inter Miami,M-F,"$3,050,000.00","$3,350,000.00",Rodolfo Pizarro
627,Tomas,Pochettino,Austin FC,M,"$582,447.00","$642,447.00",Tomas Pochettino
628,Andy,Polo,Portland Timbers,M,"$500,000.00","$500,000.00",Andy Polo
629,Matt,Polster,New England Revolution,D-M,"$300,000.00","$328,438.00",Matt Polster
630,Paxton,Pomykal,FC Dallas,M,"$600,000.00","$600,000.00",Paxton Pomykal
631,Gino,Portella,Philadelphia Union,,"$63,547.00","$71,615.00",Gino Portella
632,Justin,Portillo,Real Salt Lake,M,"$85,444.00","$85,444.00",Justin Portillo
633,Noah,Powder,Real Salt Lake,D,"$63,547.00","$67,609.00",Noah Powder
634,Alvas,Powell,Philadelphia Union,D,"$81,375.00","$88,875.00",Alvas Powell
635,Alejandro,Pozuelo,Toronto FC,M,"$3,800,000.00","$4,693,000.00",Alejandro Pozuelo
636,Jack,Price,Colorado Rapids,M,"$600,000.00","$655,625.00",Jack Price
637,Ralph,Priso,Toronto FC,M,"$66,724.00","$70,476.00",Ralph Priso
638,Kacper,Przybylko,Philadelphia Union,F,"$825,000.00","$916,250.00",Kacper Przybylko
639,Alan,Pulido Izaguirre,Sporting Kansas City,F,"$2,200,000.00","$2,200,000.00",Alan Pulido Izaguirre
640,William,Pulisic,Austin FC,GK,"$63,547.00","$63,547.00",William Pulisic
641,John,Pulskamp,Sporting Kansas City,GK,"$67,360.00","$69,860.00",John Pulskamp
642,Roberto,Puncec,Sporting Kansas City,D,"$575,000.00","$575,000.00",Roberto Puncec
643,Andrew,Putna,Real Salt Lake,GK,"$140,000.00","$153,458.00",Andrew Putna
644,Alvaro,Quezada,LAFC,D-M,"$63,547.00","$63,547.00",Alvaro Quezada
645,Facundo,Quignon,FC Dallas,M,"$786,000.00","$840,627.00",Facundo Quignon
646,Darwin,Quintero,Houston Dynamo,F,"$1,352,055.00","$1,352,055.00",Darwin Quintero
647,Jairo,Quinteros,Inter Miami,D,"$66,724.00","$66,724.00",Jairo Quinteros
648,Romell,Quioto,Montreal,F,"$800,000.00","$885,000.00",Romell Quioto
649,Kaveh,Rad,Sporting Kansas City,D,"$63,547.00","$63,547.00",Kaveh Rad
650,Jukka,Raitala,Minnesota United,D,"$285,000.00","$306,350.00",Jukka Raitala
651,Jeizon,Ramirez Chacon,Real Salt Lake,M,"$360,000.00","$401,250.00",Jeizon Ramirez Chacon
652,Gregory,Ranjitsingh,Major League Soccer,GK,"$81,375.00","$81,375.00",Gregory Ranjitsingh
653,Ryan,Raposo,Vancouver Whitecaps,M,"$90,000.00","$104,000.00",Ryan Raposo
654,Rayan,Raveloson,LA Galaxy,M,"$780,000.00","$855,025.00",Rayan Raveloson
655,Andre,Rawls,Colorado Rapids,GK,"$85,000.00","$91,000.00",Andre Rawls
656,Sean,Rea,Montreal,,"$63,547.00","$71,730.00",Sean Rea
657,Matthew,Real,Philadelphia Union,D,"$90,000.00","$90,000.00",Matthew Real
658,Rodney,Redes,Austin FC,F,"$385,000.00","$385,000.00",Rodney Redes
659,Beni,Redzic,FC Dallas,M,"$63,547.00","$71,169.00",Beni Redzic
660,Eric,Remedi,San Jose Earthquakes,M,"$450,000.00","$450,000.00",Eric Remedi
661,Justin,Rennicks,New England Revolution,F,"$100,000.00","$110,000.00",Justin Rennicks
662,Andres,Reyes,New York Red Bulls,D,"$400,000.00","$444,375.00",Andres Reyes
663,Yordy,Reyna,DC United,M-F,"$711,500.00","$774,640.00",Yordy Reyna
664,Andre,Reynolds,Chicago Fire,D,"$81,375.00","$89,375.00",Andre Reynolds
665,Emanuel,Reynoso,Minnesota United,M,"$750,000.00","$966,910.00",Emanuel Reynoso
666,Andres,Ricaurte,FC Dallas,M,"$450,000.00","$487,178.00",Andres Ricaurte
667,Spencer,Richey,Seattle Sounders FC,GK,"$81,375.00","$81,375.00",Spencer Richey
668,Tosaint,Ricketts,Vancouver Whitecaps,F,"$160,000.00","$165,000.00",Tosaint Ricketts
669,Alexander,Ring,Austin FC,M,"$1,000,000.00","$1,095,000.00",Alexander Ring
670,Daniel Esteban,Rios,Houston Dynamo,M,"$63,547.00","$68,069.00",Daniel Esteban Rios
671,Daniel,Rios,Nashville SC,F,"$140,000.00","$161,500.00",Daniel Rios
672,Andres,Rios,San Jose Earthquakes,F,"$870,000.00","$939,250.00",Andres Rios
673,Damian,Rivera,New England Revolution,M,"$63,547.00","$63,547.00",Damian Rivera
674,Wilfredo,Rivera,Orlando City SC,,"$63,547.00","$63,547.00",Wilfredo Rivera
675,Nigel,Robertha,DC United,F,"$550,000.00","$622,406.00",Nigel Robertha
676,Thomas,Roberts,FC Dallas,M,"$150,000.00","$163,000.00",Thomas Roberts
677,Miles,Robinson,Atlanta United,D,"$650,000.00","$687,500.00",Miles Robinson
678,Robbie,Robinson,Inter Miami,F,"$125,000.00","$170,000.00",Robbie Robinson
679,Tony,Rocha,New York City FC,M,"$85,444.00","$85,444.00",Tony Rocha
680,Allan,Rodriguez,Chicago Fire,M,"$66,724.00","$68,624.00",Allan Rodriguez
681,Abraham,Rodriguez,Colorado Rapids,GK,"$63,547.00","$63,547.00",Abraham Rodriguez
682,Memo,Rodriguez,Houston Dynamo,M,"$265,000.00","$290,935.00",Memo Rodriguez
683,Brian,Rodriguez,LAFC,F,"$700,000.00","$1,039,800.00",Brian Rodriguez
684,Santiago,Rodriguez,New York City FC,M,"$612,500.00","$612,500.00",Santiago Rodriguez
685,Cristian,Roldan,Seattle Sounders FC,M,"$760,000.00","$881,542.00",Cristian Roldan
686,Alex,Roldan,Seattle Sounders FC,M-D,"$93,581.00","$93,581.00",Alex Roldan
687,Jhohan,Romana,Austin FC,D,"$420,000.00","$420,000.00",Jhohan Romana
688,"Antonio ""Rocco""",Romeo,Toronto FC,D,"$81,250.00","$84,641.00","Antonio ""Rocco"" Romeo"
689,Tomas,Romero,LAFC,GK,"$81,375.00","$86,375.00",Tomas Romero
690,Dave,Romney,Nashville SC,D,"$225,000.00","$225,000.00",Dave Romney
691,Eloy,Room,Columbus Crew,GK,"$425,004.00","$479,698.00",Eloy Room
692,Joseph,Rosales,Minnesota United,M,"$81,375.00","$81,375.00",Joseph Rosales
693,Andy,Rose,Vancouver Whitecaps,M,"$132,000.00","$132,000.00",Andy Rose
694,Oriol,Rosell,Orlando City SC,M,"$475,000.00","$475,000.00",Oriol Rosell
695,Keegan,Rosenberry,Colorado Rapids,D,"$285,000.00","$298,750.00",Keegan Rosenberry
696,Matheus,Rossetto,Atlanta United,M,"$550,000.00","$662,500.00",Matheus Rossetto
697,Diego,Rossi,LAFC,F,"$1,000,000.00","$1,052,000.00",Diego Rossi
698,Kelyn,Rowe,Seattle Sounders FC,M-D,"$180,000.00","$180,000.00",Kelyn Rowe
699,Daniel,Royer,New York Red Bulls,M,"$750,000.00","$818,750.00",Daniel Royer
700,Rubio,Rubin,Real Salt Lake,F,"$135,000.00","$152,067.00",Rubio Rubin
701,Diego,Rubio Kostner,Colorado Rapids,F,"$585,000.00","$629,583.00",Diego Rubio Kostner
702,Raul,Ruidiaz,Seattle Sounders FC,F,"$2,100,000.00","$2,100,000.00",Raul Ruidiaz
703,Sergio,Ruiz,Major League Soccer,M,"$300,000.00","$363,000.00",Sergio Ruiz
704,Pablo,Ruiz,Real Salt Lake,M,"$375,000.00","$448,500.00",Pablo Ruiz
705,Albert,Rusnak,Real Salt Lake,M,"$2,150,000.00","$2,351,667.00",Albert Rusnak
706,Johnny,Russell,Sporting Kansas City,F,"$1,600,000.00","$1,600,000.00",Johnny Russell
707,Nathan-Dylan,Saliba,Montreal,,"$63,547.00","$73,999.00",Nathan-Dylan Saliba
708,Shea,Salinas,San Jose Earthquakes,F,"$280,000.00","$280,000.00",Shea Salinas
709,Daniel,Salloi,Sporting Kansas City,F,"$400,000.00","$456,667.00",Daniel Salloi
710,Ilie,Sanchez,Sporting Kansas City,M,"$1,000,000.00","$1,000,000.00",Ilie Sanchez
711,James,Sands,New York City FC,D-M,"$150,000.00","$200,000.00",James Sands
712,Pedro,Santos,Columbus Crew,M,"$817,560.00","$864,560.00",Pedro Santos
713,Sergio,Santos,Philadelphia Union,F,"$660,000.00","$728,500.00",Sergio Santos
714,CJ,Sapong,Nashville SC,F,"$400,000.00","$427,778.00",CJ Sapong
715,Tor,Saunders,Nashville SC,GK,"$63,547.00","$63,547.00",Tor Saunders
716,Rodrigo,Schlegel,Orlando City SC,D,"$120,000.00","$127,425.00",Rodrigo Schlegel
717,Tate,Schmitt,Real Salt Lake,F,"$90,000.00","$90,000.00",Tate Schmitt
718,Aaron,Schoenfeld,Austin FC,F,"$210,000.00","$210,000.00",Aaron Schoenfeld
719,Szabolcs,Schon,FC Dallas,F,"$300,000.00","$341,800.00",Szabolcs Schon
720,Brady,Scott,Austin FC,GK,"$115,000.00","$121,236.00",Brady Scott
721,Kyle,Scott,FC Cincinnati,M,"$81,375.00","$92,458.00",Kyle Scott
722,Patrick,Seagrist,Inter Miami,D,"$63,547.00","$63,547.00",Patrick Seagrist
723,Dante,Sealy,FC Dallas,F,"$100,000.00","$113,400.00",Dante Sealy
724,Ulises,Segura,Austin FC,M,"$240,000.00","$269,125.00",Ulises Segura
725,Eddie,Segura,LAFC,D,"$200,000.00","$224,000.00",Eddie Segura
726,Chris,Seitz,DC United,GK,"$160,000.00","$160,000.00",Chris Seitz
727,Amar,Sejdic,Atlanta United,M,"$81,375.00","$81,375.00",Amar Sejdic
728,Boris,Sekulic,Chicago Fire,D,"$571,000.00","$643,900.00",Boris Sekulic
729,Brandon,Servania,FC Dallas,M,"$230,400.00","$271,400.00",Brandon Servania
730,Jacob,Shaffelburg,Toronto FC,M-F,"$110,000.00","$116,500.00",Jacob Shaffelburg
731,Ryan,Shawcross,Inter Miami,D,"$300,000.00","$307,500.00",Ryan Shawcross
732,Brek,Shea,Inter Miami,M-D,"$135,000.00","$135,000.00",Brek Shea
733,Khiry,Shelton,Sporting Kansas City,F,"$650,000.00","$650,000.00",Khiry Shelton
734,Andre,Shinyashiki,Colorado Rapids,F,"$120,000.00","$130,000.00",Andre Shinyashiki
735,Bobby,Shuttleworth,Chicago Fire,GK,"$110,000.00","$125,750.00",Bobby Shuttleworth
736,Marcelo,Silva,Real Salt Lake,D,"$550,000.00","$596,667.00",Marcelo Silva
737,Kevin,Silva,Toronto FC,GK,"$66,724.00","$66,724.00",Kevin Silva
738,Luke,Singh,Toronto FC,D,"$63,547.00","$71,513.00",Luke Singh
739,Jonathan,Sirois,Montreal,GK,"$66,724.00","$71,167.00",Jonathan Sirois
740,Pablo,Sisniega,LAFC,GK,"$150,000.00","$150,000.00",Pablo Sisniega
741,Jack,Skahan,San Jose Earthquakes,M,"$66,724.00","$66,724.00",Jack Skahan
742,Andrew,Skundrich,DC United,M-F,"$81,375.00","$81,375.00",Andrew Skundrich
743,Gabriel,Slonina,Chicago Fire,GK,"$100,000.00","$104,800.00",Gabriel Slonina
744,Nicholas,Slonina,Chicago Fire,D,"$66,724.00","$67,974.00",Nicholas Slonina
745,Kimarni,Smith,DC United,M-F,"$81,375.00","$81,375.00",Kimarni Smith
746,Collin,Smith,FC Dallas,D,"$63,547.00","$66,547.00",Collin Smith
747,Kyle,Smith,Orlando City SC,D,"$105,996.00","$118,660.00",Kyle Smith
748,Brad,Smith,Seattle Sounders FC,D,"$525,000.00","$566,250.00",Brad Smith
749,Graham,Smith,Sporting Kansas City,D,"$85,444.00","$85,444.00",Graham Smith
750,Jan,Sobocinksi,Major League Soccer,D,"$120,000.00","$146,250.00",Jan Sobocinksi
751,Anthony,Sorenson,Philadelphia Union,M,"$63,547.00","$66,547.00",Anthony Sorenson
752,Erik,Sorga,DC United,F,"$150,000.00","$173,000.00",Erik Sorga
753,Santiago,Sosa,Atlanta United,M-F,"$385,000.00","$503,100.00",Santiago Sosa
754,Yeferson,Soteldo,Toronto FC,F,"$1,500,000.00","$1,965,000.00",Yeferson Soteldo
755,Caio Alexandre,Sousa e Silva,Vancouver Whitecaps,M,"$500,000.00","$539,583.00",Caio Alexandre Sousa e Silva
756,Brenner,Souza da Silva,FC Cincinnati,F,"$1,221,818.00","$1,760,418.00",Brenner Souza da Silva
757,Omar,Sowe,New York Red Bulls,F,"$63,547.00","$72,633.00",Omar Sowe
758,Dayne,St. Clair,Minnesota United,GK,"$95,000.00","$99,520.00",Dayne St. Clair
759,Mason,Stajduhar,Orlando City SC,GK,"$85,444.00","$85,444.00",Mason Stajduhar
760,Caleb,Stanko,FC Cincinnati,M,"$210,000.00","$210,000.00",Caleb Stanko
761,Aedan,Stanley,Austin FC,D,"$63,547.00","$63,547.00",Aedan Stanley
762,Daniel,Steres,LA Galaxy,D,"$375,000.00","$393,750.00",Daniel Steres
763,Luka,Stojanovic,Chicago Fire,M,"$314,000.00","$373,400.00",Luka Stojanovic
764,Jared,Stroud,Austin FC,M,"$81,375.00","$81,375.00",Jared Stroud
765,"Aljaz ""Kiki""",Struna,Montreal,D,"$1,100,000.00","$1,210,000.00","Aljaz ""Kiki"" Struna"
766,Brad,Stuver,Austin FC,GK,"$150,000.00","$160,000.00",Brad Stuver
767,Quinn,Sullivan,Philadelphia Union,M,"$63,547.00","$67,047.00",Quinn Sullivan
768,Hunter,Sulte,Portland Timbers,GK,"$63,547.00","$68,143.00",Hunter Sulte
769,Beckham,Sunderland,FC Cincinnati,GK,"$63,547.00","$67,609.00",Beckham Sunderland
770,Ben,Sweat,Austin FC,D,"$250,000.00","$250,000.00",Ben Sweat
771,Ballou,Tabla,Montreal,M,"$250,000.00","$276,250.00",Ballou Tabla
772,Ismael,Tajouri-Shradi,New York City FC,F,"$577,500.00","$618,985.00",Ismael Tajouri-Shradi
773,Andrew,Tarbell,Austin FC,GK,"$275,000.00","$283,333.00",Andrew Tarbell
