,,,,,,,,,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Performance,Performance,Expected,Expected,Expected,Expected,Expected,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
134,Nathan Cardoso\d4438745,br BRA,DF,San Jose,25,1995,19.2,2,19,4,21.1,0.99,0.21,0.11,0.5,11.3,0,0,0,1.6,1.6,0.08,+0.4,+0.4,Matches
135,Antonio Carlos\949fe1e8,br BRA,DF,Orlando City,27,1993,26.8,2,17,3,17.6,0.63,0.11,0.12,0.67,9,0,0,0,0.9,0.9,0.05,+1.1,+1.1,Matches
136,Wikelman Carmona\cab97dd2,ve VEN,MFFW,NY Red Bulls,17,2003,13.7,1,35,11,31.4,2.56,0.81,0.03,0.09,23,2,0,0,2.3,2.3,0.06,-1.3,-1.3,Matches
137,Julián Carranza\3e9ae1db,ar ARG,FWMF,Inter Miami,20,2000,8.2,1,13,2,15.4,1.59,0.24,0.08,0.5,12.7,0,0,0,1.1,1.1,0.09,-0.1,-0.1,Matches
138,Adalberto Carrasquilla\f087912d,pa PAN,MF,Houston Dynamo,22,1998,6.2,1,11,4,36.4,1.77,0.65,0.09,0.25,23,0,0,0,0.6,0.6,0.05,+0.4,+0.4,Matches
139,Javier Casas\2ed8d81b,us USA,MF,Chicago Fire,17,2003,0.6,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
140,Julio Cascante\cc120b4f,cr CRC,DF,Austin FC,27,1993,26.8,2,20,8,40,0.75,0.3,0.1,0.25,7.9,0,0,0,1.5,1.5,0.07,+0.5,+0.5,Matches
141,Cristian Cásseres Jr.\f86fe8c1,ve VEN,MFFW,NY Red Bulls,21,2000,22.9,6,41,16,39,1.79,0.7,0.15,0.38,19.8,4,0,0,3.3,3.3,0.08,+2.7,+2.7,Matches
142,Robert Castellanos\e620dcbb,us USA,DF,Nashville,22,1998,1,1,2,1,50,2,1,0.5,1,7.9,0,0,0,0.1,0.1,0.04,+0.9,+0.9,Matches
143,Valentín Castellanos\da76bab4,ar ARG,FW,NYCFC,22,1998,30.5,19,129,53,41.1,4.22,1.74,0.12,0.28,16.2,0,4,5,21.4,17.7,0.14,-2.4,-2.7,Matches
144,Edgar Castillo\3cdde01b,us USA,DF,FC Cincinnati,34,1986,10.8,1,8,1,12.5,0.74,0.09,0.13,1,24.2,0,0,0,0.4,0.4,0.05,+0.6,+0.6,Matches
145,Juan Castillo\bd538c54,us USA,MF,Houston Dynamo,16,2004,0.1,0,1,0,0,7.5,0,0,,20,0,0,0,0,0,0.03,0,0,Matches
146,Lucas Cavallini\dd8de641,ca CAN,FW,Vancouver,28,1992,13.7,3,32,14,43.8,2.34,1.02,0.09,0.21,14.4,2,0,0,3.5,3.5,0.11,-0.5,-0.5,Matches
147,Darwin Cerén\a58de3f0,sv SLV,MF,Houston Dynamo,31,1989,13.4,0,6,1,16.7,0.45,0.07,0,0,22.3,0,0,0,0.3,0.3,0.05,-0.3,-0.3,Matches
148,Edwin Cerrillo\bd060315,us USA,MF,FC Dallas,20,2000,15.4,0,3,0,0,0.19,0,0,,24.2,0,0,0,0.1,0.1,0.02,-0.1,-0.1,Matches
149,Maikel Chang\04cc9edd,cu CUB,DFMF,Real Salt Lake,29,1991,12.1,2,13,8,61.5,1.07,0.66,0.15,0.25,21.6,0,0,0,1.2,1.2,0.09,+0.8,+0.8,Matches
150,Maxime Chanot\ca366055,lu LUX,DF,NYCFC,31,1989,28.9,0,19,2,10.5,0.66,0.07,0,0,14.7,0,0,0,1.1,1.1,0.06,-1.1,-1.1,Matches
151,Jay Chapman\3bb4d381,ca CAN,MFFW,Inter Miami,27,1994,13.2,0,9,5,55.6,0.68,0.38,0,0,17.5,0,0,0,0.4,0.4,0.04,-0.4,-0.4,Matches
152,Diego Chará\6260cc9d,co COL,MF,Portland Timbers,34,1986,27.2,2,4,2,50,0.15,0.07,0.5,1,19.3,0,0,0,0.4,0.4,0.09,+1.6,+1.6,Matches
153,Yimmi Chará\9df9baab,co COL,FWMF,Portland Timbers,29,1991,25.7,6,44,15,34.1,1.71,0.58,0.14,0.4,16.2,2,0,0,4.9,4.9,0.11,+1.1,+1.1,Matches
154,Justin Che\3c569f37,us USA,DF,FC Dallas,17,2003,11.3,0,5,0,0,0.44,0,0,,26.3,0,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches
155,Mathieu Choiniere\017459bb,ca CAN,DF,CF Montréal,21,1999,22,2,17,6,35.3,0.77,0.27,0.12,0.33,20.1,0,0,0,1.2,1.2,0.07,+0.8,+0.8,Matches
156,Léo Chú\d88ebbe9,br BRA,FWMF,Seattle,20,2000,1.7,1,5,3,60,2.94,1.76,0.2,0.33,13.4,0,0,0,0.6,0.6,0.11,+0.4,+0.4,Matches
157,José Cifuentes\8c8c07a7,ec ECU,MF,Los Angeles FC,21,1999,25.7,5,64,16,25,2.49,0.62,0.08,0.31,18.9,2,0,0,6.2,6.2,0.1,-1.2,-1.2,Matches
158,Abdoulaye Cissoko\52a6ef30,fr FRA,DF,Seattle,21,1999,10.7,0,6,1,16.7,0.56,0.09,0,0,9.1,0,0,0,0.8,0.8,0.13,-0.8,-0.8,Matches
159,Caden Clark\6e327d0d,us USA,MFFW,NY Red Bulls,17,2003,16.7,4,23,9,39.1,1.38,0.54,0.17,0.44,18.9,0,0,0,2.4,2.4,0.1,+1.6,+1.6,Matches
160,Steve Clark\ed6320b7,us USA,GK,Portland Timbers,34,1986,23.3,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
161,Stefan Cleveland\873fdbdf,us USA,GK,Seattle,26,1994,15,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
162,Elliot Collier\5804f03b,nz NZL,FWMF,Chicago Fire,25,1995,3.7,0,7,2,28.6,1.88,0.54,0,0,13.2,0,0,0,0.9,0.9,0.12,-0.9,-0.9,Matches
163,Jackson Conway\1cfa6e1a,us USA,FWMF,Atlanta Utd,19,2001,2.7,1,8,3,37.5,3.01,1.13,0.13,0.33,11.1,0,0,0,1,1,0.13,0,0,Matches
164,Derek Cornelius\577744b8,ca CAN,DFFW,Vancouver,23,1997,1.6,0,2,0,0,1.24,0,0,,18.1,0,0,0,0,0,0.02,0,0,Matches
165,Joe Corona\470cd24b,us USA,MF,Houston Dynamo,30,1990,19.2,0,21,2,9.5,1.09,0.1,0,0,20.6,3,0,0,1.3,1.3,0.06,-1.3,-1.3,Matches
166,Carlos Coronel\5c07e176,br BRA,GK,NY Red Bulls,24,1996,34,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
167,Séga Coulibaly\dab9537e,fr FRA,DF,LA Galaxy,24,1996,15.8,0,2,0,0,0.13,0,0,,6.5,0,0,0,0.2,0.2,0.1,-0.2,-0.2,Matches
168,Cade Cowell\f8e95f87,us USA,FWMF,San Jose,17,2003,18.6,5,43,19,44.2,2.32,1.02,0.12,0.26,15.7,0,0,0,4.8,4.8,0.11,+0.2,+0.2,Matches
169,Maxime Crépeau\ea42e480,ca CAN,GK,Vancouver,26,1994,27,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
170,Daniel Crisostomo\33fdd2aa,us USA,MF,Los Angeles FC,24,1997,4.4,0,2,0,0,0.46,0,0,,23.2,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
171,Cody Cropper\aa133046,us USA,GK,FC Cincinnati,27,1993,1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
172,Allan Cruz\030105a5,cr CRC,MF,FC Cincinnati,24,1996,18.3,1,29,5,17.2,1.58,0.27,0.03,0.2,19.7,0,0,0,2.6,2.6,0.09,-1.6,-1.6,Matches
173,Cristián Dajome\a065e877,co COL,FWDF,Vancouver,27,1994,29.7,10,55,17,30.9,1.85,0.57,0.11,0.35,16.9,1,4,4,9.3,6.3,0.11,+0.7,-0.3,Matches
174,Jürgen Damm\bbf8bf7a,mx MEX,FWDF,Atlanta Utd,28,1992,1.8,0,1,0,0,0.56,0,0,,16,0,0,0,0,0,0.04,0,0,Matches
175,Jesús Daniel Bueno\b5687b08,ve VEN,MF,Philadelphia,21,1999,0.3,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
176,Mario Daniel Vega\6904a59a,ar ARG,GK,San Jose,36,1984,1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
177,Abu Danladi\507383d1,gh GHA,FWMF,Nashville,25,1995,1.1,1,7,5,71.4,6.63,4.74,0.14,0.2,10.8,0,0,0,1.4,1.4,0.2,-0.4,-0.4,Matches
178,Toni Datković\0893e14b,hr CRO,DF,Real Salt Lake,27,1993,6.5,0,1,1,100,0.15,0.15,0,0,7.1,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches
179,Jacob Davis\79d3a503,us USA,MF,Sporting KC,19,2002,0,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
180,Sean Davis\cb75cac9,us USA,MF,NY Red Bulls,27,1993,34,0,11,4,36.4,0.32,0.12,0,0,21,0,0,0,0.4,0.4,0.04,-0.4,-0.4,Matches
181,Matheus Davó\e48e1310,br BRA,FWMF,Philadelphia,21,1999,0.2,0,2,1,50,9.47,4.74,0,0,20.5,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
182,Alex DeJohn\2a6c024c,us USA,DF,Atlanta Utd,29,1991,1.4,0,1,1,100,0.72,0.72,0,0,11,0,0,0,0.1,0.1,0.14,-0.1,-0.1,Matches
183,A.J. DeLaGarza\171b3c37,gu GUM,DF,New England,33,1987,5.6,0,2,0,0,0.36,0,0,,15.3,0,0,0,0.3,0.3,0.13,-0.3,-0.3,Matches
184,Jordy Delem\12e3a5f4,mq MTQ,MFDF,Seattle,27,1993,0.4,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
185,Nick DeLeon\21490b0d,us USA,MFFW,Toronto FC,30,1990,7,1,17,7,41.2,2.42,1,0.06,0.14,17.8,0,0,0,1.4,1.4,0.08,-0.4,-0.4,Matches
186,Marky Delgado\7f6a25b7,us USA,MFFW,Toronto FC,25,1995,26.3,3,17,7,41.2,0.65,0.27,0.12,0.29,18.7,0,1,1,2.3,1.6,0.09,+0.7,+0.4,Matches
187,Nick DePuy\ba7b4e67,us USA,DF,LA Galaxy,26,1994,20.7,0,11,4,36.4,0.53,0.19,0,0,11,0,0,0,0.9,0.9,0.09,-0.9,-0.9,Matches
188,Silvester van der Water\5d83500d,nl NED,FWMF,Orlando City,24,1996,10.9,3,26,8,30.8,2.39,0.74,0.12,0.38,17.5,0,0,0,3,3,0.11,0,0,Matches
189,Joey DeZart\9d7142a6,us USA,MF,Orlando City,22,1998,6.3,0,1,0,0,0.16,0,0,,21.2,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches
190,Amadou Dia\1650e261,us USA,DF,Sporting KC,27,1993,1.2,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
191,Youba Diarra\d61759ec,ml MLI,MF,NY Red Bulls,22,1998,1.4,0,2,0,0,1.45,0,0,,30,0,0,0,0,0,0.02,0,0,Matches
192,Luis Díaz\1c9838aa,cr CRC,FW,Columbus Crew,22,1998,10.9,1,21,6,28.6,1.92,0.55,0.05,0.17,17,0,0,0,2.5,2.5,0.12,-1.5,-1.5,Matches
193,Bakaye Dibassy\247accfd,ml MLI,DF,Minnesota Utd,31,1989,25.9,1,18,6,33.3,0.69,0.23,0.06,0.17,17.5,0,0,0,1.2,1.2,0.07,-0.2,-0.2,Matches
194,Daryl Dike\d4cfc93c,us USA,FW,Orlando City,20,2000,14.7,10,30,13,43.3,2.05,0.89,0.23,0.54,11.8,0,3,3,6.6,4.3,0.14,+3.4,+2.7,Matches
195,Clément Diop\0d5c0218,sn SEN,GK,CF Montréal,27,1993,8,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
196,Moussa Djitte\627b570a,sn SEN,FW,Austin FC,21,1999,6.7,1,12,7,58.3,1.79,1.04,0.08,0.14,14.3,0,0,0,1.1,1.1,0.09,-0.1,-0.1,Matches
197,Ethan Dobbelaere\1e772b7c,us USA,DFMF,Seattle,18,2002,2,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
198,Cecilio Domínguez\3162d667,py PAR,FW,Austin FC,26,1994,26.3,7,63,30,47.6,2.39,1.14,0.1,0.2,16.7,3,1,2,9.5,8,0.13,-2.5,-2,Matches
199,Irakoze Donasiyano\6195efdb,us USA,MF,Nashville,22,1998,0.3,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
200,Griffin Dorsey\c182ca04,us USA,FWDF,Houston Dynamo,21,1999,16.5,2,26,7,26.9,1.58,0.43,0.08,0.29,15.3,0,0,0,2.4,2.4,0.09,-0.4,-0.4,Matches
201,Jonathan dos Santos\91872dec,mx MEX,MF,LA Galaxy,30,1990,20.1,1,18,1,5.6,0.9,0.05,0.06,1,26.4,0,0,0,0.9,0.9,0.05,+0.1,+0.1,Matches
202,Hassani Dotson\8f2af1ed,us USA,MFFW,Minnesota Utd,23,1997,26.3,2,52,13,25,1.97,0.49,0.04,0.15,20,1,0,0,3.8,3.8,0.07,-1.8,-1.8,Matches
203,Josh Drack\98a70879,us USA,MF,LA Galaxy,21,1999,0,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
204,Sebastián Driussi\60e86875,ar ARG,MFFW,Austin FC,24,1996,15.3,5,40,16,40,2.62,1.05,0.13,0.31,16.9,1,0,0,5,5,0.13,0,0,Matches
205,Bryce Duke\59557625,us USA,MFFW,Los Angeles FC,19,2001,5.1,0,6,1,16.7,1.17,0.2,0,0,25.4,1,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches
206,Cameron Duke\c679d9fd,us USA,MFDF,Sporting KC,19,2001,7.4,2,7,4,57.1,0.95,0.54,0.29,0.5,14.8,0,0,0,1,1,0.15,+1.0,+1.0,Matches
207,Cameron Dunbar\a8734f4a,us USA,FWMF,LA Galaxy,18,2002,3.3,0,3,2,66.7,0.92,0.61,0,0,19.7,0,0,0,0.2,0.2,0.08,-0.2,-0.2,Matches
208,Kyle Duncan\575e6cb1,us USA,DF,NY Red Bulls,23,1997,28.9,1,18,6,33.3,0.62,0.21,0.06,0.17,22.2,0,0,0,1.3,1.3,0.07,-0.3,-0.3,Matches
209,Julian Dunn-Johnson\220b5800,ca CAN,DF,Toronto FC,20,2000,1,0,1,0,0,1,0,0,,10,0,0,0,0,0,0.04,0,0,Matches
210,Chris Duvall\39fae08b,us USA,DF,FC Cincinnati,29,1991,1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
211,Dom Dwyer\bdfc15f8,us USA,FW,Toronto FC,30,1990,5.5,0,9,0,0,1.63,0,0,,15.2,1,0,0,1.2,1.2,0.13,-1.2,-1.2,Matches
212,Jeremy Ebobisse\5fa7b2ec,us USA,FWMF,Portland Timbers,23,1997,10.5,4,22,11,50,2.1,1.05,0.18,0.36,12.2,0,0,0,3.9,3.9,0.18,+0.1,+0.1,Matches
213,Jeremy Ebobisse\5fa7b2ec,us USA,FW,San Jose,23,1997,8.4,1,26,15,57.7,3.09,1.78,0.04,0.07,16.1,0,0,0,3.3,3.3,0.13,-2.3,-2.3,Matches
214,Javier Eduardo López\f851b52f,mx MEX,MFFW,San Jose,26,1994,25,12,52,22,42.3,2.08,0.88,0.21,0.5,21.4,3,1,1,6,5.3,0.1,+6.0,+5.7,Matches
215,Raheem Edwards\b828d56a,ca CAN,DFMF,Los Angeles FC,25,1995,15.3,0,28,8,28.6,1.83,0.52,0,0,15.4,1,0,0,3.2,3.2,0.12,-3.2,-3.2,Matches
216,Tom Edwards\1b780599,eng ENG,DF,NY Red Bulls,22,1999,21.7,0,12,6,50,0.55,0.28,0,0,28.8,1,0,0,0.4,0.4,0.03,-0.4,-0.4,Matches
217,Mandela Egbo\5603d397,eng ENG,DF,NY Red Bulls,23,1997,0.3,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
218,Jack Elliott\041deebd,eng ENG,DF,Philadelphia,25,1995,33,2,30,7,23.3,0.91,0.21,0.07,0.29,12.3,2,0,0,3.4,3.4,0.11,-1.4,-1.4,Matches
219,Kalil ElMedkhar\272c1aaf,us USA,FWMF,FC Dallas,21,1999,1.4,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
220,Tsubasa Endoh\46dca6e8,jp JPN,FWMF,Toronto FC,27,1993,5.7,1,3,2,66.7,0.53,0.35,0.33,0.5,23.7,0,0,0,0.1,0.1,0.03,+0.9,+0.9,Matches
221,Adam Esparza\ca135560,us USA,MF,LA Galaxy,18,2002,7.5,0,3,2,66.7,0.4,0.27,0,0,21.9,0,0,0,0.2,0.2,0.06,-0.2,-0.2,Matches
222,Cristian Espinoza\9c794a80,ar ARG,FWMF,San Jose,25,1995,24.7,3,53,17,32.1,2.14,0.69,0.06,0.18,20.9,3,0,1,5.2,4.4,0.08,-2.2,-1.4,Matches
223,Jhon Espinoza\79666d5a,ec ECU,DF,Chicago Fire,21,1999,9,0,10,3,30,1.11,0.33,0,0,18.3,0,0,0,0.8,0.8,0.08,-0.8,-0.8,Matches
224,Roger Espinoza\60b7c195,hn HON,MF,Sporting KC,34,1986,23.2,0,25,6,24,1.08,0.26,0,0,18.5,0,0,0,2.3,2.3,0.09,-2.3,-2.3,Matches
225,Lucas Esteves\c6ec0258,br BRA,DF,Colorado Rapids,20,2000,10.3,1,17,5,29.4,1.65,0.49,0.06,0.2,19,1,0,0,1.9,1.9,0.11,-0.9,-0.9,Matches
226,Derrick Etienne\59059f1e,ht HAI,FWMF,Columbus Crew,24,1996,20.5,1,27,9,33.3,1.32,0.44,0.04,0.11,16,0,0,0,2.2,2.2,0.08,-1.2,-1.2,Matches
227,Fábio\30f90535,br BRA,FWMF,NY Red Bulls,23,1997,24.3,7,85,16,18.8,3.5,0.66,0.08,0.44,15.3,0,0,0,8.6,8.6,0.1,-1.6,-1.6,Matches
228,Diego Fagúndez\fe81682e,uy URU,MFFW,Austin FC,25,1995,28.1,7,49,21,42.9,1.74,0.75,0.14,0.33,16.4,2,0,0,5.9,5.9,0.12,+1.1,+1.1,Matches
229,Mamadou Fall\805a2a11,sn SEN,DF,Los Angeles FC,18,2002,16.8,4,18,6,33.3,1.07,0.36,0.22,0.67,12.8,0,0,0,1.8,1.8,0.1,+2.2,+2.2,Matches
230,Marco Farfan\cfc68595,us USA,DF,Los Angeles FC,22,1998,19.5,0,6,0,0,0.31,0,0,,14.8,0,0,0,0.5,0.5,0.08,-0.5,-0.5,Matches
231,Andrew Farrell\71eda165,us USA,DF,New England,28,1992,33,0,1,0,0,0.03,0,0,,20,0,0,0,0.1,0.1,0.09,-0.1,-0.1,Matches
232,Felipe\2415bd0a,br BRA,MF,D.C. United,30,1990,12.6,1,14,6,42.9,1.11,0.48,0.07,0.17,21.8,2,0,0,0.8,0.8,0.06,+0.2,+0.2,Matches
233,Omir Fernandez\622986f0,us USA,FWMF,NY Red Bulls,21,1999,8.6,3,21,10,47.6,2.45,1.16,0.14,0.3,13.9,0,0,0,3.5,3.5,0.16,-0.5,-0.5,Matches
234,Jesus Ferreira\f61246d8,us USA,MF,FC Dallas,20,2000,24.9,8,56,23,41.1,2.25,0.92,0.14,0.35,19.7,4,0,0,6.7,6.7,0.12,+1.3,+1.3,Matches
235,Carlos Fierro\bbd2b6b7,mx MEX,FWMF,San Jose,26,1994,12.9,3,24,9,37.5,1.86,0.7,0.13,0.33,14.4,1,0,0,4.3,4.3,0.18,-1.3,-1.3,Matches
236,Jorge Figal\91e44066,ar ARG,DF,Inter Miami,26,1994,22.3,1,10,4,40,0.45,0.18,0.1,0.25,9.3,0,0,0,0.9,0.9,0.09,+0.1,+0.1,Matches
237,Maynor Figueroa\d8524b21,hn HON,DF,Houston Dynamo,37,1983,9.1,0,14,1,7.1,1.54,0.11,0,0,22.6,2,0,0,0.9,0.9,0.07,-0.9,-0.9,Matches
238,Stuart Findlay\edffe99a,sct SCO,DF,Philadelphia,25,1995,4.2,0,2,1,50,0.48,0.24,0,0,7.1,0,0,0,0.3,0.3,0.14,-0.3,-0.3,Matches
239,Ethan Finlay\c16a59af,us USA,FW,Minnesota Utd,30,1990,19.1,3,27,10,37,1.41,0.52,0.11,0.3,13.5,0,0,0,3.3,3.3,0.12,-0.3,-0.3,Matches
240,Oniel Fisher\ed5fdca6,jm JAM,DF,LA Galaxy,29,1991,5.4,0,2,0,0,0.37,0,0,,28.2,0,0,0,0,0,0.02,0,0,Matches
241,Leon Flach\39859fa1,us USA,MF,Philadelphia,19,2001,29.3,1,20,4,20,0.68,0.14,0.05,0.25,18,0,0,0,1.5,1.5,0.07,-0.5,-0.5,Matches
242,Edison Flores\ef2c82f8,pe PER,FWMF,D.C. United,26,1994,10.8,2,37,10,27,3.43,0.93,0.05,0.2,17.5,2,0,0,3,3,0.08,-1,-1,Matches
243,George Fochive\f99000bb,us USA,MF,Portland Timbers,28,1992,11.5,2,11,4,36.4,0.96,0.35,0.18,0.5,16.1,0,0,0,1,1,0.09,+1.0,+1.0,Matches
244,Anthony Fontana\1f34358e,us USA,MFFW,Philadelphia,21,1999,3.9,0,6,2,33.3,1.54,0.51,0,0,15.1,0,0,0,1.1,1.1,0.19,-1.1,-1.1,Matches
245,Andreu Fontàs\0f138d5a,es ESP,DF,Sporting KC,31,1989,33,0,14,3,21.4,0.42,0.09,0,0,11.7,0,0,0,1.9,1.9,0.14,-1.9,-1.9,Matches
246,Franco Fragapane\09538c47,ar ARG,FWMF,Minnesota Utd,27,1993,17,5,28,10,35.7,1.65,0.59,0.18,0.5,13.3,0,0,1,6.1,5.4,0.19,-1.1,-0.4,Matches
247,Waylon Francis\a3a1849f,cr CRC,DF,Columbus Crew,30,1990,14.9,0,1,0,0,0.07,0,0,,15.6,0,0,0,0,0,0.02,0,0,Matches
248,Alan Franco\a548281c,ar ARG,DF,Atlanta Utd,24,1996,22.4,0,13,3,23.1,0.58,0.13,0,0,10.5,0,0,0,0.4,0.4,0.03,-0.4,-0.4,Matches
249,Przemysław Frankowski\00a8d210,pl POL,FWMF,Chicago Fire,25,1995,11.8,2,27,8,29.6,2.29,0.68,0.07,0.25,15.3,0,0,0,3.9,3.9,0.14,-1.9,-1.9,Matches
250,Liam Fraser\d784062b,ca CAN,MF,Columbus Crew,22,1998,12.7,0,5,3,60,0.4,0.24,0,0,20,0,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches
251,Liam Fraser\d784062b,ca CAN,MF,Toronto FC,22,1998,0.4,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
252,Matt Freese\2f49476c,us USA,GK,Philadelphia,22,1998,5.6,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
253,Stefan Frei\1d0a0f3e,ch SUI,GK,Seattle,34,1986,17,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
254,Alejandro Fuenmayor\77edb7ec,ve VEN,DF,Houston Dynamo,24,1996,3,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
255,McKinze Gaines\8ef72983,us USA,FW,Austin FC,22,1998,2.4,1,5,3,60,2.12,1.27,0.2,0.33,14.5,0,0,0,0.8,0.8,0.16,+0.2,+0.2,Matches
256,Jon Gallagher\9d5afdfb,ie IRL,FWMF,Austin FC,24,1996,14.1,3,23,8,34.8,1.63,0.57,0.13,0.38,11.1,0,0,0,4.1,4.1,0.18,-1.1,-1.1,Matches
257,Pedro Gallese\b76e1394,pe PER,GK,Orlando City,30,1990,22,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
258,Braian Galván\bbfbd4d3,ar ARG,DFMF,Colorado Rapids,20,2000,13.4,2,18,9,50,1.35,0.67,0.11,0.22,22.3,1,0,0,0.9,0.9,0.05,+1.1,+1.1,Matches
259,Boniek García\889ce425,hn HON,DFMF,Houston Dynamo,36,1984,7.9,0,5,0,0,0.64,0,0,,20.5,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
260,Bruno Gaspar\55ae91f0,ao ANG,DF,Vancouver,27,1993,9.9,1,5,2,40,0.51,0.2,0.2,0.5,18.1,0,0,0,1,1,0.19,0,0,Matches
261,Chase Gasper\7371ec36,us USA,DF,Minnesota Utd,25,1996,29.2,1,21,2,9.5,0.72,0.07,0.05,0.5,16.5,0,0,0,1.6,1.6,0.08,-0.6,-0.6,Matches
262,Ryan Gauld\862e93c2,sct SCO,MFFW,Vancouver,25,1995,14.5,4,37,19,51.4,2.55,1.31,0.11,0.21,16.5,2,0,0,4.6,4.6,0.12,-0.6,-0.6,Matches
263,Dániel Gazdag\527d0e31,hu HUN,MFFW,Philadelphia,24,1996,14.8,4,33,12,36.4,2.23,0.81,0.09,0.25,14.3,0,1,1,5.6,4.9,0.15,-1.6,-1.9,Matches
264,Kieran Gibbs\46ee5234,eng ENG,DF,Inter Miami,31,1989,7.7,1,7,2,28.6,0.91,0.26,0.14,0.5,17.1,0,0,0,0.3,0.3,0.04,+0.7,+0.7,Matches
265,Carles Gil\11c30a46,es ESP,MF,New England,28,1992,25.4,4,53,19,35.8,2.09,0.75,0.06,0.16,20.2,9,1,1,5.3,4.6,0.09,-1.3,-1.6,Matches
266,José Antonio Martínez Gil\8e049cbd,es ESP,DF,FC Dallas,27,1993,16.7,0,8,2,25,0.48,0.12,0,0,16.4,0,0,0,0.4,0.4,0.05,-0.4,-0.4,Matches
267,Gastón Giménez\ab66cc31,py PAR,MF,Chicago Fire,29,1991,21.7,2,35,11,31.4,1.61,0.51,0.06,0.18,26.5,1,0,0,1.3,1.3,0.04,+0.7,+0.7,Matches
268,Francisco Ginella\5a28a782,uy URU,MF,Los Angeles FC,22,1999,9.8,0,10,4,40,1.02,0.41,0,0,20.4,0,0,0,0.7,0.7,0.07,-0.7,-0.7,Matches
269,Justen Glad\5b768b0f,us USA,DF,Real Salt Lake,23,1997,31,2,15,5,33.3,0.48,0.16,0.13,0.4,8.8,0,0,0,1.4,1.4,0.1,+0.6,+0.6,Matches
270,Jakob Glesnes\ac65aef3,no NOR,DF,Philadelphia,26,1994,34,3,21,5,23.8,0.62,0.15,0.14,0.6,17.4,3,0,0,1.3,1.3,0.06,+1.7,+1.7,Matches
271,Chris Gloster\01cd3c12,us USA,DF,NYCFC,20,2000,0.8,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
272,Marcus Godinho\27854bf6,ca CAN,DF,Vancouver,23,1997,1.3,0,1,0,0,0.78,0,0,,17.5,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches
273,Aníbal Godoy\2d496ca3,pa PAN,MF,Nashville,30,1990,22.4,0,12,3,25,0.53,0.13,0,0,19.3,0,0,0,1,1,0.09,-1,-1,Matches
274,Erik Godoy\e8b80334,ar ARG,DF,Vancouver,27,1993,14.5,1,6,1,16.7,0.41,0.07,0.17,1,9.3,0,0,0,0.5,0.5,0.09,+0.5,+0.5,Matches
275,Yeimar Gómez Andrade\e43c8d72,co COL,DF,Seattle,28,1992,29.6,1,19,3,15.8,0.64,0.1,0.05,0.33,9,0,0,0,1.2,1.2,0.06,-0.2,-0.2,Matches
276,Leandro González Pirez\5ba1112c,ar ARG,DF,Inter Miami,28,1992,29.5,0,18,5,27.8,0.61,0.17,0,0,11.9,0,0,0,1.2,1.2,0.07,-1.2,-1.2,Matches
277,Omar Gonzalez\0d2fe665,us USA,DF,Toronto FC,32,1988,25.5,3,10,5,50,0.39,0.2,0.3,0.6,7.6,0,0,0,1.4,1.4,0.14,+1.6,+1.6,Matches
