,,,,,,,,,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Performance,Performance,Expected,Expected,Expected,Expected,Expected,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
32,Efrain Alvarez\3cd08ab7,mx MEX,FWMF,LA Galaxy,18,2002,13.9,2,37,9,24.3,2.66,0.65,0.05,0.22,20.4,5,0,0,2.7,2.7,0.07,-0.7,-0.7,Matches
33,Frankie Amaya\2e8bd00c,us USA,MF,NY Red Bulls,20,2000,9.3,1,10,4,40,1.07,0.43,0.1,0.25,20.2,0,0,0,0.5,0.5,0.05,+0.5,+0.5,Matches
34,Mikey Ambrose\f649d6aa,us USA,DFMF,Atlanta Utd,27,1993,0.7,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
35,Malte Amundsen\83b6e15d,dk DEN,DF,NYCFC,22,1998,15.5,1,9,3,33.3,0.58,0.19,0.11,0.33,19.6,0,0,0,0.5,0.5,0.06,+0.5,+0.5,Matches
36,Sebastian Anderson\3a9911ce,us USA,DF,Colorado Rapids,18,2002,0.4,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
37,José Andrés Martínez\c8364e8e,ve VEN,MF,Philadelphia,26,1994,21.7,0,23,2,8.7,1.06,0.09,0,0,31.7,0,0,0,0.4,0.4,0.02,-0.4,-0.4,Matches
38,Jalil Anibaba\e44593b0,us USA,DF,Nashville,32,1988,7.1,1,3,1,33.3,0.43,0.14,0.33,1,14.2,0,0,0,0.3,0.3,0.09,+0.7,+0.7,Matches
39,Brian Anunga\17b28ec7,cm CMR,MF,Nashville,24,1996,16.8,1,17,3,17.6,1.01,0.18,0.06,0.33,22.3,0,0,0,0.8,0.8,0.05,+0.2,+0.2,Matches
40,Cristian Arango\fea9401e,co COL,FW,Los Angeles FC,25,1995,15.5,14,58,27,46.6,3.74,1.74,0.16,0.33,17.6,6,5,5,12,8.2,0.14,+2.0,+0.8,Matches
41,Julian Araujo\8f4541c2,mx MEX,DF,LA Galaxy,19,2001,31,0,14,1,7.1,0.45,0.03,0,0,18.8,0,0,0,0.5,0.5,0.04,-0.5,-0.5,Matches
42,Luiz Araújo\fa18c72e,br BRA,FWMF,Atlanta Utd,24,1996,12.8,4,47,17,36.2,3.68,1.33,0.09,0.24,21.7,4,0,0,3.7,3.7,0.08,+0.3,+0.3,Matches
43,Daniel Armando Ríos\078b2c07,mx MEX,FW,Nashville,25,1995,4.1,1,17,5,29.4,4.1,1.21,0.06,0.2,13,0,0,0,1.5,1.5,0.09,-0.5,-0.5,Matches
44,Xavier Arreaga\7f2b7640,ec ECU,DF,Seattle,26,1994,24,2,10,6,60,0.42,0.25,0.2,0.33,6.9,0,0,0,1.7,1.7,0.17,+0.3,+0.3,Matches
45,Paul Arriola\1bb2acce,us USA,FWMF,D.C. United,25,1995,15.1,6,39,11,28.2,2.59,0.73,0.15,0.55,16,1,0,0,5.3,5.3,0.14,+0.7,+0.7,Matches
46,Artur\ea6803c7,br BRA,MF,Columbus Crew,24,1996,4.8,0,3,2,66.7,0.63,0.42,0,0,16.3,0,0,0,0.4,0.4,0.14,-0.4,-0.4,Matches
47,Yamil Asad\a444689a,ar ARG,MFFW,D.C. United,26,1994,7.2,2,11,3,27.3,1.52,0.42,0.09,0.33,24.2,1,1,1,1.8,1,0.09,+0.2,0,Matches
48,Dairon Asprilla\218d336c,co COL,FWMF,Portland Timbers,28,1992,23.2,10,64,23,35.9,2.76,0.99,0.14,0.39,16.3,0,1,1,6.8,6,0.09,+3.2,+3.0,Matches
49,Isaac Atanga\ff0f2a53,gh GHA,FWMF,FC Cincinnati,20,2000,11.4,1,20,9,45,1.76,0.79,0.05,0.11,16.5,1,0,0,2.5,2.5,0.12,-1.5,-1.5,Matches
50,Joshua Atencio\1f084637,us USA,MF,Seattle,19,2002,16.8,0,6,4,66.7,0.36,0.24,0,0,26.1,0,0,0,0.1,0.1,0.02,-0.1,-0.1,Matches
51,Jeff Attinella\4277b946,us USA,GK,Portland Timbers,32,1988,1.9,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
